Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products),Cuisine,Calories
Gujarati Khandvi,Ginger,Cilantro(Coriander leaves),Curry leaves,Lemon juice,Gram flour(Besan),Mustard,Turmeric,Green Chilli,None,None,Curd,Gujarati,282
Vaghareli Roti,Green chilli,Curry leaves,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Mustard,Turmeric,Asafoetida,Sesame seeds,None,Curd,Gujarati,277
Vaal Nu Shak,Soyabean,Cilantro(Coriander leaves),None,None,Gram flour(Besan),Turmeric,Red Chilli,Asafoetida,Garam Masala,None,None,Gujarati,406
Kathiyawadi Dhokli Shaak,Onion,Spring Onion,Green chilli,Ginger,Gram flour(Besan),Red Chilli,Coriander,Turmeric,Cumin,None,Buttermilk,Gujarati,448
Bajri Methi Dhebra,Fenugreek,Green chilli,None,None,Bajra(Millet Flour),Red Chilli,Coriander,Turmeric,Sesame seeds,None,Curd,Gujarati,39
Spicy Bajra Roti,Onion,Curry leaves,Cilantro(Coriander leaves),None,Bajra(Millet Flour),Green Chilli,Sesame seeds,None,None,None,None,Rajasthani,123
Baingan Methi,Brinjal,Fenugreek,Tomato,Ginger,None,Turmeric,Red Chilli,Mustard,Garlic Cloves,None,None,Indian,96
Stuffed Spinach Paratha,Spinach,Carrot,Ginger,None,Whole wheat flour(Atta),Coriander,Green Chilli,None,None,None,Paneer(Cottage cheese),Indian,141
Methi Matar Malai,Fenugreek,Peas,Ginger,Cilantro(Coriander leaves),None,Garlic Cloves,Onion,Green Chilli,Cumin,None,Cream,North Indian,258
Paneer Pudina Tikki,Mint,Green chilli,None,None,Corn flour,Garam Masala,None,None,None,None,Paneer(Cottage cheese),North Indian,70
Papad Potato Roll,Potato,Green chilli,Lemon juice,None,Whole wheat flour(Atta),Red Chilli,Garam Masala,Coriander,None,Papad,None,Indian,132
Moyettes (Mexican Style Open Bun),Cabbage,Tomato,Kidney beans(Rajma),Spring Onion,None,Red Chilli,Green Chilli,Coriander,Garlic Cloves,Bun,Cheese,Mexican,179
Makki ka Dhokla,Sweet corn,Curry leaves,Ginger,Lemon juice,Corn flour,Turmeric,Mustard,Sesame seeds,None,None,Curd,Gujarati,266
Bajra Cauliflower Roti,Cauliflower,Cilantro(Coriander leaves),Spring Onion,Garlic,Bajra(Millet Flour),Ginger,Green Chilli,None,None,None,None,Indian,33
Creamed Cabbage with Onion,Cabbage,Onion,Garlic,Lemon juice,None,Black Pepper,None,None,None,None,Cream,American,114.7
Canadian Poutine,Potato,Garlic,None,None,White flour(Maida),Onion,Black Pepper,None,None,None,Cheese,Canadian,513
Swedish potatoes with dill cream sauce,Potato,None,None,None,White flour(Maida),Dill,Black Pepper,Nutmeg,None,None,Cream,Swedish,228
Norwegian Oatmeal Cookies,None,None,None,None,Oats,Vanilla,Cinnamon,Nutmeg,None,None,Butter,Norwegian,105
Polish Potato Pancakes,Potato,Carrot,Onion,None,White flour(Maida),Garlic Cloves,Black Pepper,None,None,None,None,Polish,45
Kashmiri Dahi Baingan ,Brinjal,Onion,Garlic,Ginger,None,Green Chilli,Red Chilli,Turmeric,Garam Masala,None,Curd,Kashmiri,211
Mirch Pakoda,Potato,None,None,None,White flour(Maida),Red Chilli,Cumin,Oregano,Garam Masala,None,None,Rajasthani,165
Corn Capsicum Masala,Sweet corn,Capsicum,Tomato,Garlic,None,Cumin,Cinnamon,Cardamom,Garam Masala,None,Paneer(Cottage cheese),North Indian,101
Gobi Manchurian,Cauliflower,Onion,Ginger,Garlic,Corn flour,Green Chilli,None,None,None,None,None,Indo Chinese,294
Punjabi Masoor Dal,Tomato,Onion,Cilantro(Coriander leaves),Garlic,Masoor dal,Garam Masala,Turmeric,Ginger,Red Chilli,None,None,Punjabi,127
Toor Dal,Cilantro(Coriander leaves),Garlic,None,None,Toor dal,Cumin,Turmeric,Red Chilli,Asafoetida,None,None,Indian,143
Urad Dal,Onion,Cilantro(Coriander leaves),Ginger,Garlic,Urad dal,Cumin,Asafoetida,Turmeric,Red Chilli,None,None,Indian,235
Newari Pancakes,Ginger,Garlic,None,None,Masoor dal,Asafoetida,Cumin,Turmeric,None,None,None,Nepali,115
Tibetan Potato Curry,Potato,Tomato,Onion,Ginger,None,Red Chilli,Garam Masala,Garlic Cloves,Fenugreek seeds,None,None,Tibetan,191
Pickled Radish,Radish,Garlic,Ginger,Green chilli,None,Cumin,Coriander,Red Chilli,Mustard,None,None,Nepali,15
Mustard Brinjal Curry,Brinjal,Onion,Tomato,Garlic,None,Mustard,Fenugreek seeds,Green Chilli,Garam Masala,None,None,South Indian,277
Tibetan Noodle Soup,Carrot,Spinach,Tomato,Cilantro(Coriander leaves),White flour(Maida),Onion,Ginger,Garlic Cloves,Black Pepper,None,None,Tibetan,415
Welsh Onion Cake,Potato,Onion,None,None,None,Rosemary,Black Pepper,None,None,None,Butter,Welsh,247
Bihari Ghugni,Onion,Garlic,Ginger,Lemon juice,Gram(Chana),Green Chilli,Bay leaves,Cinnamon,Garam Masala,None,None,Bihari,145
Curried Spinach(Saag),Spinach,Mustard Greens,Cabbage,Cilantro(Coriander leaves),None,Garlic Cloves,Garam Masala,Cumin,Turmeric,None,None,North Indian,126
Brazilian Black Beans,Black Beans,Onion,Garlic,Cilantro(Coriander leaves),None,Bay leaves,Black Pepper,Paprika,Oregano,None,None,Brazilian,121
Dutch Farmer's Cheese Soup,Potato,Carrot,Cauliflower,Onion,None,None,None,None,None,French Bread,Cheese,Dutch,708
Sabudana Vada,Potato,Cilantro(Coriander leaves),Ginger,Lemon juice,Sabudana,Green Chilli,Red Chilli,Cumin,None,None,None,Maharashtrian,126
Matar ki Puri,Peas,Mint,None,None,Whole wheat flour(Atta),Coriander,Red Chilli,Turmeric,None,None,None,Indian,150
Bitter Gourd Chips,Bitter Gourd,Curry leaves,None,None,Gram flour(Besan),Red Chilli,Turmeric,None,None,None,None,Gujarati,360
Sweet Potato Chips,Sweet potato,None,None,None,None,Red Chilli,Turmeric,Asafoetida,None,None,None,South American,148
Mushroom Stuffed Potato Cakes,Potato,Mushrooms,Onion,Lemon juice,White flour(Maida),Garlic Cloves,Dill,Red Chilli,Black Pepper,None,None,Russian,197
Veggie Croquettes,Potato,Carrot,Capsicum,Spinach,White flour(Maida),Onion,Garlic Cloves,None,None,White Bread,Butter,French,60
Masala Jowar Roti,Cilantro(Coriander leaves),Cucumber,Onion,Curry leaves,Jowar Flour,Sesame seeds,Cumin,None,None,None,None,Karnataka,49
Onion Masala Buns,Onion,Garlic,Green chilli,Cilantro(Coriander leaves),White flour(Maida),Cumin,Paprika,None,None,None,Milk,Indian,240
Roasted Cauliflower Steaks,Cauliflower,Garlic,None,None,None,Parsley,Black Pepper,Paprika,None,None,None,American,241
Beetroot Raita,Beetroot,Green chilli,Curry leaves,None,None,Red Chilli,Mustard,Cumin,None,None,Curd,Indian,187
Baked Nippattu,Onion,Green chilli,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Sesame seeds,None,None,None,None,Butter,South Indian,130
Gujarati Khichu(Steamed Rice Flour Savory Donuts),Ginger,Green chilli,None,None,Rice Flour,Cumin,Oregano,None,None,None,None,Gujarati,169
Baked Methi Mathri,Fenugreek,None,None,None,Whole wheat flour(Atta),Red Chilli,Turmeric,Sesame seeds,Oregano,None,Ghee,Rajasthani,26
Pumpkin Bread,Pumpkin,None,None,None,White flour(Maida),Flax Seeds,Cinnamon,Nutmeg,Cloves,None,Milk,American,259
Tomato Raita,Tomato,Curry leaves,Green chilli,None,Chana dal,Mustard,Cumin,Asafoetida,Turmeric,None,Curd,Indian,126
Onion Mint Sandwich,Onion,Mint,None,None,Urad dal,Red Chilli,Garam Masala,Turmeric,None,Whole Wheat Bread,Ghee,Indian,240
Crispy Fennel Seed Flatbread Crackers,Lemon juice,None,None,None,White flour(Maida),Fennel seeds,Poppy seeds,Sesame seeds,Black Pepper,None,None,Continental,36
Makki Di Roti,Fenugreek,None,None,None,Corn flour,Oregano,Turmeric,None,None,None,Ghee,Punjabi,90
Bajra Khichu with Masala Dahi,Green chilli,Curry leaves,None,None,Bajra(Millet Flour),Red Chilli,Garam Masala,Cumin,Coriander,None,Curd,Gujarati,264
Onion and Spinach Pakoras,Onion,Spinach,Ginger,Green chilli,Gram flour(Besan),Asafoetida,Red Chilli,Fennel seeds,Garam Masala,None,None,Indian,339
Sweet Corn Vada,Sweet corn,Spring Onion,Garlic,Cilantro(Coriander leaves),Rice Flour,Ginger,Green Chilli,Red Chilli,None,None,None,Indian,52
Sweet Potato Masala Puri,Sweet potato,Cilantro(Coriander leaves),Lemon juice,None,Whole wheat flour(Atta),Red Chilli,Asafoetida,Kasoori Methi,Garam Masala,None,None,Indian,432
Lettuce and Pea Soup,Lettuce,Peas,None,None,None,Black Pepper,Dill,Asafoetida,None,None,None,Continental,46
Spicy Cheesy Swirl Buns with Potato-Bell Pepper Masala ,Potato,Capsicum,Onion,None,White flour(Maida),Flax Seeds,Red Chilli,Garam Masala,Cumin,None,None,Indian,396
Corn and Capsicum Tikki,Sweet corn,Capsicum,None,None,Rice Flour,Green Chilli,None,None,None,None,None,Indian,79
Icelandic Vegetable and Oat Soup,Potato,Carrot,Cauliflower,Celery,Oats,Bay leaves,Onion,Garlic Cloves,None,None,None,Icelandic,94
Gujarati Masala Bhakri,None,None,None,None,Whole wheat flour(Atta),Red Chilli,Turmeric,Cumin,None,None,None,Gujarati,169
Vegetarian French Onion Soup,Onion,Garlic,None,None,None,Bay leaves,Thyme,Black Pepper,None,French Bread,Cheese,French,76
Cabbage Vada,Cabbage,Cilantro(Coriander leaves),Green chilli,Mint,Rice Flour,Ginger,Red Chilli,Garam Masala,None,None,None,Indian,16
Rajasthani Mirchi Vada,Potato,Ginger,Green chilli,None,Gram flour(Besan),Red Chilli,Turmeric,Garam Masala,Oregano,None,None,Rajasthani,100
Dahi ke Kabab,Cilantro(Coriander leaves),Onion,None,None,Gram flour(Besan),Green Chilli,Ginger,Garam Masala,None,Whole Wheat Bread,Curd,North Indian,227
Makai Galouti Kabab,Sweet corn,Potato,Onion,Ginger,Whole wheat flour(Atta),Green Chilli,Garam Masala,Turmeric,Coriander,Whole Wheat Bread,Paneer(Cottage cheese),Punjabi,147
Bengali Matar Kachori,Peas,Green chilli,Ginger,None,Gram flour(Besan),Cumin,Garam Masala,Cardamom,Asafoetida,None,Ghee,Bengali,200
Onion Bhajis,Onion,Cilantro(Coriander leaves),Green chilli,Lemon juice,Gram flour(Besan),Cumin,Turmeric,Garam Masala,None,None,None,Maharashtrian,158
Sweet Potato Corn Cakes,Sweet potato,Sweet corn,Cilantro(Coriander leaves),Onion,Corn flour,Garlic Cloves,Cayenne Peppers,Cumin,None,White Bread,Curd,Continental,153
Beetroot Rice,Beetroot,Cilantro(Coriander leaves),Mint,Onion,Rice,Green Chilli,Ginger,Red Chilli,Garam Masala,None,None,South Indian,215
Spinach Puri,Spinach,Green chilli,None,None,Whole wheat flour(Atta),Fennel seeds,None,None,None,None,None,Indian,46
Tomato Puri,Tomato,None,None,None,Whole wheat flour(Atta),Red Chilli,Oregano,Garam Masala,Kasoori Methi,None,None,North Indian,47
Hare Matar ki Puri,Peas,Green chilli,Lemon juice,None,Whole wheat flour(Atta),Cumin,Garam Masala,None,None,None,Curd,Rajasthani,150
Mint and Masoor Tikki,Mint,Ginger,Green chilli,None,Masoor dal,None,None,None,None,Whole Wheat Bread,Paneer(Cottage cheese),Indian,93
Besan Bread Toast,Cilantro(Coriander leaves),Green chilli,Onion,None,Gram flour(Besan),Black Pepper,Red Chilli,Turmeric,Oregano,White Bread,None,Indian,252
Saffron Rice,Cilantro(Coriander leaves),None,None,None,Rice,Saffron,Mustard,Turmeric,Black Pepper,None,None,Indian,146
Mint Hummus,Mint,Garlic,Lemon juice,None,Chickpeas(Chhole),Sesame seeds,None,None,None,None,None,Middle Eastern,200
Steamed Lentil Dumplings,Green chilli,Curry leaves,Ginger,None,Chana dal,Coriander,Dill,Asafoetida,Cumin,None,None,Karnataka,93
Kala Chana Kabab,Cilantro(Coriander leaves),Green chilli,Onion,Ginger,Gram(Chana),Garam Masala,Red Chilli,Garlic Cloves,None,None,None,Indian,110
Jowar Pancakes,Onion,Cucumber,Green chilli,None,Jowar Flour,Turmeric,Coriander,None,None,None,Curd,Indian,43
Sesame Fingers,Celery,Potato,Spring Onion,Capsicum,White flour(Maida),Sesame seeds,Red Chilli,None,None,White Bread,None,Chinese,103
Cheesy Spring Onion Fingers,Spring Onion,Carrot,Cabbage,Tomato,None,Green Chilli,None,None,None,White Bread,Cheese,Indian,43
Rice and Dhaniya Mathri,Cilantro(Coriander leaves),None,None,None,Rice Flour,Red Chilli,Oregano,None,None,None,Ghee,Rajasthani,159
Crispy Eggless Pinwheels,Potato,Onion,Green chilli,None,None,Red Chilli,Oregano,Thyme,Garam Masala,Whole Wheat Bread,Cheese,American,121
Paneer Bhurji,Tomato,Onion,Green chilli,Cilantro(Coriander leaves),None,Garlic Cloves,Red Chilli,Garam Masala,Turmeric,None,Paneer(Cottage cheese),Punjabi,370
Broccoli and Carrot Paratha,Broccoli,Carrot,Cilantro(Coriander leaves),Ginger,Whole wheat flour(Atta),Red Chilli,Cumin,Mustard,None,None,None,Indian,179
Mooli Jowar ki Roti,Radish,Ginger,Garlic,None,Jowar Flour,Red Chilli,None,None,None,None,Curd,Punjabi,99
Broccoli Masala Stir Fry,Broccoli,Green chilli,Onion,Garlic,Gram flour(Besan),Red Chilli,Cumin,Turmeric,Asafoetida,None,None,Indian,112
Dahi Papad Sabzi,Onion,Green chilli,Ginger,Garlic,None,Turmeric,Garam Masala,Kasoori Methi,Mustard,Papad,Curd,Rajasthani,157
Vegan Mushroom Stroganoff,Mushrooms,Onion,Garlic,Soyabean,Corn flour,Red Chilli,Black Pepper,Paprika,Thyme,None,Cream,Russian,220
Capsicum Besan Sabzi,Capsicum,Green chilli,Cilantro(Coriander leaves),None,Gram flour(Besan),Fennel seeds,Asafoetida,Mustard,Turmeric,None,None,South Indian,213
Methi Mushroom Curry,Fenugreek,Mushrooms,Tomato,Garlic,None,Ginger,Onion,Red Chilli,Garam Masala,None,None,Punjabi,180
Onion Bhakri,Onion,Green chilli,Cilantro(Coriander leaves),None,Rawa(Semolina),Turmeric,None,None,None,None,Ghee,Maharashtrian,126
Spinach and Feta Gozleme,Spinach,Onion,Garlic,None,White flour(Maida),Red Chilli,None,None,None,None,Cheese,Turkish,434
Creamy Cucumber and Dill Salad,Cucumber,Onion,Garlic,Lemon juice,None,Dill,Black Pepper,None,None,None,Curd,Persian,304
Vegetable Au Gratin,Capsicum,Tomato,Carrot,Broccoli,White flour(Maida),Garlic Cloves,Bay leaves,Black Pepper,Oregano,None,Cheese,French,250
Sweet Potatoes stuffed with Quinoa and Spinach,Sweet potato,Spinach,Garlic,None,None,Quinoa,Black Pepper,Flax Seeds,None,None,Cheese,American,275
Potatoes au Gratin,Potato,Leek,None,None,None,Thyme,Red Chilli,Black Pepper,Dill,None,Cream,French,323
Roasted Fennel and Potato Soup,Potato,Fennel Bulbs,Onion,None,None,Black Pepper,None,None,None,None,Milk,American,277
Fennel Slaw with Mint Vinaigrette,Fennel Bulbs,Mint,Onion,Lemon juice,None,Mustard,None,None,None,None,None,Italian,120
Creamed Fennel and Cauliflower Soup,Cauliflower,Fennel Bulbs,Onion,None,None,Garlic Cloves,Black Pepper,None,None,None,Milk,American,191
Garlic Herb Foccacia Bread ,Garlic,None,None,None,White flour(Maida),Basil,Thyme,Rosemary,Black Pepper,None,None,Italian,224
Chermoula Sauce,Cilantro(Coriander leaves),Garlic,Lemon juice,None,None,Cumin,Coriander,Paprika,Parsley,None,None,African,138
White Bean Soup with Broccoli,White Beans,Broccoli,Onion,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream,American,217
Irish Potato and Leek Soup,Potato,Leek,Onion,None,None,Thyme,Dill,Black Pepper,None,None,Cream,Irish,116
Creamy Asparagus Soup,Asparagus,Onion,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream,American,181
Nepali Aloo Achar,Potato,Cilantro(Coriander leaves),Ginger,Lemon juice,None,Red Chilli,Turmeric,Asafoetida,Fenugreek seeds,None,None,Nepali,318
Sooji Potato Pancake,Potato,Spring Onion,Carrot,None,Rawa(Semolina),Black Pepper,None,None,None,None,Ghee,Indian,47
Aloo and Green Peas Stuffed Tarts,Potato,Peas,Green chilli,Ginger,White flour(Maida),Red Chilli,Coriander,Garam Masala,Cumin,None,None,Indian,43
Mushroom Bourguinon,Mushrooms,Carrot,Onion,Tomato,None,Garlic Cloves,Thyme,Black Pepper,Bay leaves,None,None,French,340
Vegan Black Bean Soup,Black Beans,Carrot,Onion,Garlic,None,Basil,Black Pepper,Oregano,Cumin,None,None,American,168
Black Bean and Mushroom Burger Pattice,Black Beans,Mushrooms,Spinach,Carrot,Oats,Garlic Cloves,Cumin,None,None,None,None,American,280
Roasted Capsicum Raita,Capsicum,Cilantro(Coriander leaves),None,None,None,Red Chilli,Mustard,Cumin,None,None,Curd,South Indian,125
Chawal ki Roti,Garlic,Ginger,None,None,Rice Flour,Green Chilli,None,None,None,None,Curd,Maharashtrian,147
Sweet Potato Curry,Sweet potato,Capsicum,Spinach,Onion,Chickpeas(Chhole),Garlic Cloves,Garam Masala,None,None,None,Milk,South Indian,186
Cabbage Carrot Sprouts Stirfry,Cabbage,Carrot,Green chilli,None,Moong dal,Asafoetida,Cumin,Red Chilli,Turmeric,None,None,Indian,74
Jalapeno Ranch,Jalapenos,Garlic,None,None,None,Dill,Onion,Black Pepper,Parsley,None,Curd,"American, Mexican",100
Broccoli Quinoa Cakes,Broccoli,Spring Onion,None,None,Whole wheat flour(Atta),Quinoa,Garlic Cloves,Black Pepper,None,None,Cheese,American,255
Maharashtrian Style Takatla Palak (Spinach Curry),Spinach,Green chilli,Garlic,None,Chana dal,Asafoetida,Cumin,Mustard,Turmeric,None,Curd,Maharashtrian,240
Zucchini Tortilla,Zucchini,Garlic,None,None,White flour(Maida),Black Pepper,Cumin,None,None,White Bread,Cheese,Mexican,79
Quick Pickled Celery,Celery,Onion,Garlic,None,None,Bay leaves,Dill,Mustard,Black Pepper,None,None,American,189
Celery Leaf Pesto,Celery,Garlic,Lemon juice,None,None,Parsley,Sunflower Seeds,None,None,None,Cheese,Italian,187
Cheesy Asparagus Cassarole,Asparagus,Onion,Garlic,None,None,Red Chilli,Black Pepper,Parsley,None,None,Cheese,American,717
Creamy Asparagus Rice,Asparagus,Onion,Garlic,None,Rice,Basil,Parsley,Black Pepper,None,None,Cream,Italian,492
Braised Leeks,Leek,Garlic,Lemon juice,None,None,Black Pepper,None,None,None,None,Butter,French,142.5
Chimichurri Sauce,Cilantro(Coriander leaves),Onion,Garlic,Lemon juice,None,Parsley,Oregano,Red Chilli,None,None,None,Argentinian,60
Zucchini Fritters,Zucchini,Spring Onion,Mint,Lemon juice,Whole wheat flour(Atta),Dill,Garlic Cloves,Black Pepper,None,None,Cheese,American,105
Corn Chowder,Sweet corn,Celery,Cilantro(Coriander leaves),Potato,White flour(Maida),Onion,Parsley,Paprika,Red Chilli,None,Milk,American,202.5
Cilantro Jalapeno Sauce,Cilantro(Coriander leaves),Jalapenos,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream,Mexican,38.3
Tomato Chips,Tomato,Capsicum,Lemon juice,None,None,Oregano,Red Chilli,Paprika,Sunflower Seeds,None,None,American,134
Oven Roasted Garlic Parmesan Brussels Sprouts,Brussels Sprouts,Garlic,None,None,None,Black Pepper,None,None,None,None,Cheese,American,114
Cauliflower Pakoda,Cauliflower,Garlic,Ginger,Cilantro(Coriander leaves),Gram flour(Besan),Turmeric,Garam Masala,Red Chilli,None,None,None,Punjabi,377
Lehsun Methi Raita,Garlic,Fenugreek,None,None,None,Red Chilli,Garam Masala,Cumin,None,None,Curd,Indian,78
Oven Baked Zucchini Chips,Zucchini,Garlic,None,None,None,Black Pepper,Cayenne Peppers,None,None,Whole Wheat Bread,Cheese,American,23
Roasted Cauliflower Hummus,Cauliflower,Garlic,Lemon juice,None,None,Sesame seeds,Black Pepper,Cumin,None,None,None,Middle Eastern,118
Tandoori Garlic Roti,Cilantro(Coriander leaves),Garlic,None,None,Whole wheat flour(Atta),Nigella Seeds,None,None,None,None,Buttermilk,Indian,85
Dudhi Jowar Dhebra,Bottle Gourd,Green chilli,Ginger,None,Jowar Flour,Turmeric,Sesame seeds,None,None,None,Curd,Gujarati,167
Colcannon (Mashed potatoes with Cabbage),Potato,Cabbage,Onion,Garlic,None,Black Pepper,None,None,None,None,Milk,Irish,158.5
Potato Tacos,Potato,Cilantro(Coriander leaves),Garlic,None,Corn flour,Black Pepper,Cumin,None,None,None,Cheese,Mexican,380
Roasted Garlic and Rosemary White Bean Dip,Garlic,White Beans,Lemon juice,None,None,Rosemary,Black Pepper,None,None,None,None,Italian,140
Pea Fritters,Peas,Spring Onion,None,None,White flour(Maida),Parsley,Black Pepper,None,None,None,Cheese,American,69
Lemon Quinoa,Lemon juice,Curry leaves,Ginger,None,Chana dal,Quinoa,Red Chilli,Mustard,Asafoetida,None,None,South Indian,314
Braised Artichokes,Artichoke,Garlic,Lemon juice,None,Corn flour,Black Pepper,Red Chilli,None,None,None,None,Italian,230
Artichoke Salad,Artichoke,Olives,Tomato,Lemon juice,None,Garlic Cloves,Oregano,Onion,Black Pepper,None,None,American,159
Spinach and Artichoke Stuffed Potatoes,Potato,Spinach,Artichoke,Garlic,None,Black Pepper,None,None,None,None,Cheese,American,247
Brocccoli and Red Capsicum Dip,Broccoli,Capsicum,Celery,Garlic,None,Green Chilli,Onion,None,None,None,Cheese,Indian,23
Carrot Chips,Carrot,None,None,None,None,Cinnamon,Cumin,None,None,None,None,American,107
Curried Corn with Spinach ,Spinach,Sweet corn,Tomato,Onion,None,Ginger,Garlic Cloves,Garam Masala,Red Chilli,None,Cream,Punjabi,107
Sabudana Khichdi,Potato,Green chilli,None,None,Sabudana,Flax Seeds,Sesame seeds,Cumin,None,None,None,Maharashtrian,655
Curd Quinoa,Carrot,Cilantro(Coriander leaves),None,None,Urad dal,Quinoa,Asafoetida,Sesame seeds,Mustard,None,Curd,South Indian,190
Moong and Mushroom Curry,Mushrooms,Tomato,Onion,Curry leaves,Moong dal,Ginger,Turmeric,Mustard,Red Chilli,None,None,Indian,240
Gujarati Kadhi,Curry leaves,Ginger,Green chilli,None,Gram flour(Besan),Red Chilli,Mustard,Fenugreek seeds,Asafoetida,None,Curd,Gujarati,241
Sri Lankan Beetroot Curry ,Beetroot,Curry leaves,Onion,Green chilli,None,Garlic Cloves,Turmeric,Coriander,Cumin,None,Milk,Sri Lankan,76
Beetroot Hummus,Beetroot,Garlic,Lemon juice,None,Chickpeas(Chhole),Sesame seeds,Parsley,Cumin,None,None,None,Middle Eastern,116
Garlic Roasted Turnips,Turnip,Garlic,Spring Onion,None,None,Onion,Black Pepper,Parsley,Dill,None,Butter,American,90
Radish Curry,Radish,Curry leaves,Onion,Cilantro(Coriander leaves),None,Green Chilli,Red Chilli,Mustard,Turmeric,None,None,South Indian,55
Mashed Turnips,Turnip,Spring Onion,None,None,None,Nutmeg,Black Pepper,None,None,None,Cream,Continental,50
Carrot and Turnip Casserole,Carrot,Turnip,Lemon juice,None,None,Onion,Garlic Cloves,Basil,Black Pepper,None,Butter,Continental,157
Mushroom Matar,Mushrooms,Peas,Tomato,Garlic,None,Onion,Red Chilli,Turmeric,Garam Masala,None,Cream,Indian,123
"Zucchini, Bell Pepper and Moong Dal Salad",Zucchini,Capsicum,Tomato,Lemon juice,Moong dal,Black Pepper,None,None,None,None,None,Indian,161
"Nepali Potato, Tomato and Pea Curry",Potato,Tomato,Peas,Ginger,None,Onion,Green Chilli,Coriander,Turmeric,None,None,Nepali,209.7
Eggplant and Red Pepper Tarine,Brinjal,Capsicum,Tomato,None,None,Garlic Cloves,Parsley,Black Pepper,None,None,Cheese,French,304
Dill and Celery Salad,Celery,Olives,Cilantro(Coriander leaves),Lemon juice,None,Dill,Parsley,Sunflower Seeds,None,None,None,Continental,44
Karela and Peas,Bitter Gourd,Peas,Potato,Tomato,None,Ginger,Garlic Cloves,Asafoetida,Garam Masala,None,None,Indian,233
Tindora ki Sabzi (Ivy Gourd),Ivy Gourd (Tendli),Tomato,Cilantro(Coriander leaves),Onion,None,Red Chilli,Turmeric,Garam Masala,Asafoetida,None,None,Indian,218
Andhra Ivy Gourd Pickle,Ivy Gourd (Tendli),Curry leaves,None,None,None,Asafoetida,Red Chilli,Fenugreek seeds,Turmeric,None,None,South Indian,40
Kundru Chutney (Ivy Gourd Chutney),Ivy Gourd (Tendli),Cilantro(Coriander leaves),Curry leaves,Green chilli,Chana dal,Red Chilli,Mustard,Cumin,Asafoetida,None,None,South Indian,130
Arbi Chips,Colocasia,Lemon juice,None,None,None,Black Pepper,Red Chilli,Cumin,None,None,None,Indian,271
Cucumber Cheddar Chips,Cucumber,Garlic,None,None,None,Onion,Black Pepper,None,None,None,Cheese,American,127
Vegan Fajitas,Mushrooms,Capsicum,Onion,Garlic,White flour(Maida),Red Chilli,Black Pepper,Paprika,Cumin,None,None,Mexican,473.7
Soya Kheema Matar,Soyabean,Peas,Onion,Ginger,None,Red Chilli,Turmeric,Garam Masala,Fennel seeds,None,None,Indian,108
Dill Leaves Sabzi,Green chilli,Garlic,None,None,Moong dal,Dill,Cumin,Turmeric,Asafoetida,None,None,Maharashtrian,73
Yam Fry,Yam,Curry leaves,None,None,Urad dal,Turmeric,Red Chilli,Garam Masala,Mustard,None,None,South Indian,24
Creamy Roasted Yam Soup,Yam,Garlic,Onion,None,None,Black Pepper,Cayenne Peppers,Cumin,None,None,Cream,Continental,369
Millet Yam Cakes,Yam,Garlic,None,None,Bajra(Millet Flour),Parsley,Rosemary,Black Pepper,None,None,Curd,American,168
Drumstick Soup,Drumsticks,Cilantro(Coriander leaves),Onion,Garlic,None,Black Pepper,Cumin,None,None,None,Ghee,Indian,81
Drumstick Curry,Drumsticks,Potato,Tomato,Onion,None,Garlic Cloves,Mustard,Cumin,Black Pepper,None,None,South Indian,290
Olive Tapenade,Olives,Tomato,Garlic,Lemon juice,None,Oregano,Parsley,Black Pepper,None,None,None,French,182
Cluster Beans Curry,Cluster Beans(Gavar),Curry leaves,None,None,Toor dal,Mustard,Turmeric,Black Pepper,Red Chilli,None,Milk,South Indian,120
Blended Chana and Cluster Beans Curry,Cluster Beans(Gavar),Curry leaves,Onion,Green chilli,Chana dal,Mustard,Cumin,None,None,None,None,Indian,254
Vegan Spring Onion Soup,Spring Onion,Potato,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,White Bread,None,Continental,170
Mushroom and Spring Onion Dumplings,Mushrooms,Spring Onion,Ginger,None,White flour(Maida),Cumin,Red Chilli,Black Pepper,None,None,None,Italian,540
"Roasted Spring Onions with Dill, Butter and Lemon",Spring Onion,Lemon juice,None,None,None,Dill,Black Pepper,None,None,None,Butter,American,109
Spring Onion Pakoda,Spring Onion,Green chilli,Ginger,None,Gram flour(Besan),Red Chilli,Turmeric,Garam Masala,None,None,None,North Indian,399
Okroshka (Russian Summer Soup),Potato,Cucumber,Mint,Radish,None,Dill,Mustard,Black Pepper,Flax Seeds,None,Buttermilk,Russian,379
Vada Pav,Potato,Garlic,Ginger,Curry leaves,Gram flour(Besan),Asafoetida,Mustard,Green Chilli,Turmeric,Bun,None,Maharashtrian,197
