Name of Dish,Ingredient 1 (Vegetable),Ingredient 2 (Vegetable),Ingredient 3 (Vegetable),Ingredient 4 (Vegetable),"Ingredient 5 (Grains, pulses and flour )",Ingredient 6 (Spices),Ingredient 7 (Spices),Ingredient 8 (Spices),Ingredient 9 (Spices),Ingredient 10 (Breads),Ingredient 11 (Milk products)
Polish Potato Pancakes,Potato,Carrot,Onion,None,White flour(Maida),Garlic Cloves,Black Pepper,None,None,None,None
Kashmiri Dahi Baingan ,Brinjal,Onion,Garlic,Ginger,None,Green Chilli,Red Chilli,Turmeric,Garam Masala,None,Curd
Mirch Pakoda,Potato,None,None,None,White flour(Maida),Red Chilli,Cumin,Oregano,Garam Masala,None,None
Corn Capsicum Masala,Sweet corn,Capsicum,Tomato,Garlic,None,Cumin,Cinnamon,Cardamom,Garam Masala,None,Paneer(Cottage cheese)
Gobi Manchurian,Cauliflower,Onion,Ginger,Garlic,Corn flour,Green Chilli,None,None,None,None,None
Punjabi Masoor Dal,Tomato,Onion,Cilantro(Coriander leaves),Garlic,Masoor dal,Garam Masala,Turmeric,Ginger,Red Chilli,None,None
Toor Dal,Cilantro(Coriander leaves),Garlic,None,None,Toor dal,Cumin,Turmeric,Red Chilli,Asafoetida,None,None
Urad Dal,Onion,Cilantro(Coriander leaves),Ginger,Garlic,Urad dal,Cumin,Asafoetida,Turmeric,Red Chilli,None,None
Newari Pancakes,Ginger,Garlic,None,None,Masoor dal,Asafoetida,Cumin,Turmeric,None,None,None
Tibetan Potato Curry,Potato,Tomato,Onion,Ginger,None,Red Chilli,Garam Masala,Garlic Cloves,Fenugreek seeds,None,None
Pickled Radish,Radish,Garlic,Ginger,Green chilli,None,Cumin,Coriander,Red Chilli,Mustard,None,None
Mustard Brinjal Curry,Brinjal,Onion,Tomato,Garlic,None,Mustard,Fenugreek seeds,Green Chilli,Garam Masala,None,None
Tibetan Noodle Soup,Carrot,Spinach,Tomato,Cilantro(Coriander leaves),White flour(Maida),Onion,Ginger,Garlic Cloves,Black Pepper,None,None
Welsh Onion Cake,Potato,Onion,None,None,None,Rosemary,Black Pepper,None,None,None,Butter
Bihari Ghugni,Onion,Garlic,Ginger,Lemon juice,Gram(Chana),Green Chilli,Bay leaves,Cinnamon,Garam Masala,None,None
Curried Spinach(Saag),Spinach,Mustard Greens,Cabbage,Cilantro(Coriander leaves),None,Garlic Cloves,Garam Masala,Cumin,Turmeric,None,None
Brazilian Black Beans,Black Beans,Onion,Garlic,Cilantro(Coriander leaves),None,Bay leaves,Black Pepper,Paprika,Oregano,None,None
Dutch Farmer's Cheese Soup,Potato,Carrot,Cauliflower,Onion,None,None,None,None,None,French Bread,Cheese
Sabudana Vada,Potato,Cilantro(Coriander leaves),Ginger,Lemon juice,Sabudana,Green Chilli,Red Chilli,Cumin,None,None,None
Matar ki Puri,Peas,Mint,None,None,Whole wheat flour(Atta),Coriander,Red Chilli,Turmeric,None,None,None
Bitter Gourd Chips,Bitter Gourd,Curry leaves,None,None,Gram flour(Besan),Red Chilli,Turmeric,None,None,None,None
Sweet Potato Chips,Sweet potato,None,None,None,None,Red Chilli,Turmeric,Asafoetida,None,None,None
Mushroom Stuffed Potato Cakes,Potato,Mushrooms,Onion,Lemon juice,White flour(Maida),Garlic Cloves,Dill,Red Chilli,Black Pepper,None,None
Veggie Croquettes,Potato,Carrot,Capsicum,Spinach,White flour(Maida),Onion,Garlic Cloves,None,None,White Bread,Butter
Masala Jowar Roti,Cilantro(Coriander leaves),Cucumber,Onion,Curry leaves,Jowar Flour,Sesame seeds,Cumin,None,None,None,None
Onion Masala Buns,Onion,Garlic,Green chilli,Cilantro(Coriander leaves),White flour(Maida),Cumin,Paprika,None,None,None,Milk
Roasted Cauliflower Steaks,Cauliflower,Garlic,None,None,None,Parsley,Black Pepper,Paprika,None,None,None
Beetroot Raita,Beetroot,Green chilli,Curry leaves,None,None,Red Chilli,Mustard,Cumin,None,None,Curd
Baked Nippattu,Onion,Green chilli,Cilantro(Coriander leaves),None,Whole wheat flour(Atta),Sesame seeds,None,None,None,None,Butter
Gujarati Khichu(Steamed Rice Flour Savory Donuts),Ginger,Green chilli,None,None,Rice Flour,Cumin,Oregano,None,None,None,None
Baked Methi Mathri,Fenugreek,None,None,None,Whole wheat flour(Atta),Red Chilli,Turmeric,Sesame seeds,Oregano,None,Ghee
Pumpkin Bread,Pumpkin,None,None,None,White flour(Maida),Flax Seeds,Cinnamon,Nutmeg,Cloves,None,Milk
Tomato Raita,Tomato,Curry leaves,Green chilli,None,Chana dal,Mustard,Cumin,Asafoetida,Turmeric,None,Curd
Onion Mint Sandwich,Onion,Mint,None,None,Urad dal,Red Chilli,Garam Masala,Turmeric,None,Whole Wheat Bread,Ghee
Crispy Fennel Seed Flatbread Crackers,Lemon juice,None,None,None,White flour(Maida),Fennel seeds,Poppy seeds,Sesame seeds,Black Pepper,None,None
Makki Di Roti,Fenugreek,None,None,None,Corn flour,Oregano,Turmeric,None,None,None,Ghee
Bajra Khichu with Masala Dahi,Green chilli,Curry leaves,None,None,Bajra(Millet Flour),Red Chilli,Garam Masala,Cumin,Coriander,None,Curd
Onion and Spinach Pakoras,Onion,Spinach,Ginger,Green chilli,Gram flour(Besan),Asafoetida,Red Chilli,Fennel seeds,Garam Masala,None,None
Sweet Corn Vada,Sweet corn,Spring Onion,Garlic,Cilantro(Coriander leaves),Rice Flour,Ginger,Green Chilli,Red Chilli,None,None,None
Sweet Potato Masala Puri,Sweet potato,Cilantro(Coriander leaves),Lemon juice,None,Whole wheat flour(Atta),Red Chilli,Asafoetida,Kasoori Methi,Garam Masala,None,None
Lettuce and Pea Soup,Lettuce,Peas,None,None,None,Black Pepper,Dill,Asafoetida,None,None,None
Spicy Cheesy Swirl Buns with Potato-Bell Pepper Masala ,Potato,Capsicum,Onion,None,White flour(Maida),Flax Seeds,Red Chilli,Garam Masala,Cumin,None,None
Corn and Capsicum Tikki,Sweet corn,Capsicum,None,None,Rice Flour,Green Chilli,None,None,None,None,None
Icelandic Vegetable and Oat Soup,Potato,Carrot,Cauliflower,Celery,Oats,Bay leaves,Onion,Garlic Cloves,None,None,None
Gujarati Masala Bhakri,None,None,None,None,Whole wheat flour(Atta),Red Chilli,Turmeric,Cumin,None,None,None
Vegetarian French Onion Soup,Onion,Garlic,None,None,None,Bay leaves,Thyme,Black Pepper,None,French Bread,Cheese
Cabbage Vada,Cabbage,Cilantro(Coriander leaves),Green chilli,Mint,Rice Flour,Ginger,Red Chilli,Garam Masala,None,None,None
Rajasthani Mirchi Vada,Potato,Ginger,Green chilli,None,Gram flour(Besan),Red Chilli,Turmeric,Garam Masala,Oregano,None,None
Dahi ke Kabab,Cilantro(Coriander leaves),Onion,None,None,Gram flour(Besan),Green Chilli,Ginger,Garam Masala,None,Whole Wheat Bread,Curd
Makai Galouti Kabab,Sweet corn,Potato,Onion,Ginger,Whole wheat flour(Atta),Green Chilli,Garam Masala,Turmeric,Coriander,Whole Wheat Bread,Paneer(Cottage cheese)
Bengali Matar Kachori,Peas,Green chilli,Ginger,None,Gram flour(Besan),Cumin,Garam Masala,Cardamom,Asafoetida,None,Ghee
Onion Bhajis,Onion,Cilantro(Coriander leaves),Green chilli,Lemon juice,Gram flour(Besan),Cumin,Turmeric,Garam Masala,None,None,None
Sweet Potato Corn Cakes,Sweet potato,Sweet corn,Cilantro(Coriander leaves),Onion,Corn flour,Garlic Cloves,Cayenne Peppers,Cumin,None,White Bread,Curd
Beetroot Rice,Beetroot,Cilantro(Coriander leaves),Mint,Onion,Rice,Green Chilli,Ginger,Red Chilli,Garam Masala,None,None
Spinach Puri,Spinach,Green chilli,None,None,Whole wheat flour(Atta),Fennel seeds,None,None,None,None,None
Tomato Puri,Tomato,None,None,None,Whole wheat flour(Atta),Red Chilli,Oregano,Garam Masala,Kasoori Methi,None,None
Hare Matar ki Puri,Peas,Green chilli,Lemon juice,None,Whole wheat flour(Atta),Cumin,Garam Masala,None,None,None,Curd
Mint and Masoor Tikki,Mint,Ginger,Green chilli,None,Masoor dal,None,None,None,None,Whole Wheat Bread,Paneer(Cottage cheese)
Besan Bread Toast,Cilantro(Coriander leaves),Green chilli,Onion,None,Gram flour(Besan),Black Pepper,Red Chilli,Turmeric,Oregano,White Bread,None
Saffron Rice,Cilantro(Coriander leaves),None,None,None,Rice,Saffron,Mustard,Turmeric,Black Pepper,None,None
Mint Hummus,Mint,Garlic,Lemon juice,None,Chickpeas(Chhole),Sesame seeds,None,None,None,None,None
Steamed Lentil Dumplings,Green chilli,Curry leaves,Ginger,None,Chana dal,Coriander,Dill,Asafoetida,Cumin,None,None
Kala Chana Kabab,Cilantro(Coriander leaves),Green chilli,Onion,Ginger,Gram(Chana),Garam Masala,Red Chilli,Garlic Cloves,None,None,None
Jowar Pancakes,Onion,Cucumber,Green chilli,None,Jowar Flour,Turmeric,Coriander,None,None,None,Curd
Sesame Fingers,Celery,Potato,Spring Onion,Capsicum,White flour(Maida),Sesame seeds,Red Chilli,None,None,White Bread,None
Cheesy Spring Onion Fingers,Spring Onion,Carrot,Cabbage,Tomato,None,Green Chilli,None,None,None,White Bread,Cheese
Rice and Dhaniya Mathri,Cilantro(Coriander leaves),None,None,None,Rice Flour,Red Chilli,Oregano,None,None,None,Ghee
Crispy Eggless Pinwheels,Potato,Onion,Green chilli,None,None,Red Chilli,Oregano,Thyme,Garam Masala,Whole Wheat Bread,Cheese
Paneer Bhurji,Tomato,Onion,Green chilli,Cilantro(Coriander leaves),None,Garlic Cloves,Red Chilli,Garam Masala,Turmeric,None,Paneer(Cottage cheese)
Broccoli and Carrot Paratha,Broccoli,Carrot,Cilantro(Coriander leaves),Ginger,Whole wheat flour(Atta),Red Chilli,Cumin,Mustard,None,None,None
Mooli Jowar ki Roti,Radish,Ginger,Garlic,None,Jowar Flour,Red Chilli,None,None,None,None,Curd
Broccoli Masala Stir Fry,Broccoli,Green chilli,Onion,Garlic,Gram flour(Besan),Red Chilli,Cumin,Turmeric,Asafoetida,None,None
Dahi Papad Sabzi,Onion,Green chilli,Ginger,Garlic,None,Turmeric,Garam Masala,Kasoori Methi,Mustard,Papad,Curd
Vegan Mushroom Stroganoff,Mushrooms,Onion,Garlic,Soyabean,Corn flour,Red Chilli,Black Pepper,Paprika,Thyme,None,Cream
Capsicum Besan Sabzi,Capsicum,Green chilli,Cilantro(Coriander leaves),None,Gram flour(Besan),Fennel seeds,Asafoetida,Mustard,Turmeric,None,None
Methi Mushroom Curry,Fenugreek,Mushrooms,Tomato,Garlic,None,Ginger,Onion,Red Chilli,Garam Masala,None,None
Onion Bhakri,Onion,Green chilli,Cilantro(Coriander leaves),None,Rawa(Semolina),Turmeric,None,None,None,None,Ghee
Spinach and Feta Gozleme,Spinach,Onion,Garlic,None,White flour(Maida),Red Chilli,None,None,None,None,Cheese
Creamy Cucumber and Dill Salad,Cucumber,Onion,Garlic,Lemon juice,None,Dill,Black Pepper,None,None,None,Curd
Vegetable Au Gratin,Capsicum,Tomato,Carrot,Broccoli,White flour(Maida),Garlic Cloves,Bay leaves,Black Pepper,Oregano,None,Cheese
Sweet Potatoes stuffed with Quinoa and Spinach,Sweet potato,Spinach,Garlic,None,None,Quinoa,Black Pepper,Flax Seeds,None,None,Cheese
Potatoes au Gratin,Potato,Leek,None,None,None,Thyme,Red Chilli,Black Pepper,Dill,None,Cream
Roasted Fennel and Potato Soup,Potato,Fennel Bulbs,Onion,None,None,Black Pepper,None,None,None,None,Milk
Fennel Slaw with Mint Vinaigrette,Fennel Bulbs,Mint,Onion,Lemon juice,None,Mustard,None,None,None,None,None
Creamed Fennel and Cauliflower Soup,Cauliflower,Fennel Bulbs,Onion,None,None,Garlic Cloves,Black Pepper,None,None,None,Milk
Garlic Herb Foccacia Bread ,Garlic,None,None,None,White flour(Maida),Basil,Thyme,Rosemary,Black Pepper,None,None
Chermoula Sauce,Cilantro(Coriander leaves),Garlic,Lemon juice,None,None,Cumin,Coriander,Paprika,Parsley,None,None
White Bean Soup with Broccoli,White Beans,Broccoli,Onion,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream
Irish Potato and Leek Soup,Potato,Leek,Onion,None,None,Thyme,Dill,Black Pepper,None,None,Cream
Creamy Asparagus Soup,Asparagus,Onion,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream
Nepali Aloo Achar,Potato,Cilantro(Coriander leaves),Ginger,Lemon juice,None,Red Chilli,Turmeric,Asafoetida,Fenugreek seeds,None,None
Sooji Potato Pancake,Potato,Spring Onion,Carrot,None,Rawa(Semolina),Black Pepper,None,None,None,None,Ghee
Aloo and Green Peas Stuffed Tarts,Potato,Peas,Green chilli,Ginger,White flour(Maida),Red Chilli,Coriander,Garam Masala,Cumin,None,None
Mushroom Bourguinon,Mushrooms,Carrot,Onion,Tomato,None,Garlic Cloves,Thyme,Black Pepper,Bay leaves,None,None
Vegan Black Bean Soup,Black Beans,Carrot,Onion,Garlic,None,Basil,Black Pepper,Oregano,Cumin,None,None
Black Bean and Mushroom Burger Pattice,Black Beans,Mushrooms,Spinach,Carrot,Oats,Garlic Cloves,Cumin,None,None,None,None
Roasted Capsicum Raita,Capsicum,Cilantro(Coriander leaves),None,None,None,Red Chilli,Mustard,Cumin,None,None,Curd
Chawal ki Roti,Garlic,Ginger,None,None,Rice Flour,Green Chilli,None,None,None,None,Curd
Sweet Potato Curry,Sweet potato,Capsicum,Spinach,Onion,Chickpeas(Chhole),Garlic Cloves,Garam Masala,None,None,None,Milk
Cabbage Carrot Sprouts Stirfry,Cabbage,Carrot,Green chilli,None,Moong dal,Asafoetida,Cumin,Red Chilli,Turmeric,None,None
Jalapeno Ranch,Jalapenos,Garlic,None,None,None,Dill,Onion,Black Pepper,Parsley,None,Curd
Broccoli Quinoa Cakes,Broccoli,Spring Onion,None,None,Whole wheat flour(Atta),Quinoa,Garlic Cloves,Black Pepper,None,None,Cheese
Maharashtrian Style Takatla Palak (Spinach Curry),Spinach,Green chilli,Garlic,None,Chana dal,Asafoetida,Cumin,Mustard,Turmeric,None,Curd
Zucchini Tortilla,Zucchini,Garlic,None,None,White flour(Maida),Black Pepper,Cumin,None,None,White Bread,Cheese
Quick Pickled Celery,Celery,Onion,Garlic,None,None,Bay leaves,Dill,Mustard,Black Pepper,None,None
Celery Leaf Pesto,Celery,Garlic,Lemon juice,None,None,Parsley,Sunflower Seeds,None,None,None,Cheese
Cheesy Asparagus Cassarole,Asparagus,Onion,Garlic,None,None,Red Chilli,Black Pepper,Parsley,None,None,Cheese
Creamy Asparagus Rice,Asparagus,Onion,Garlic,None,Rice,Basil,Parsley,Black Pepper,None,None,Cream
Braised Leeks,Leek,Garlic,Lemon juice,None,None,Black Pepper,None,None,None,None,Butter
Chimichurri Sauce,Cilantro(Coriander leaves),Onion,Garlic,Lemon juice,None,Parsley,Oregano,Red Chilli,None,None,None
Zucchini Fritters,Zucchini,Spring Onion,Mint,Lemon juice,Whole wheat flour(Atta),Dill,Garlic Cloves,Black Pepper,None,None,Cheese
Corn Chowder,Sweet corn,Celery,Cilantro(Coriander leaves),Potato,White flour(Maida),Onion,Parsley,Paprika,Red Chilli,None,Milk
Cilantro Jalapeno Sauce,Cilantro(Coriander leaves),Jalapenos,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,None,Cream
Tomato Chips,Tomato,Capsicum,Lemon juice,None,None,Oregano,Red Chilli,Paprika,Sunflower Seeds,None,None
Oven Roasted Garlic Parmesan Brussels Sprouts,Brussels Sprouts,Garlic,None,None,None,Black Pepper,None,None,None,None,Cheese
Cauliflower Pakoda,Cauliflower,Garlic,Ginger,Cilantro(Coriander leaves),Gram flour(Besan),Turmeric,Garam Masala,Red Chilli,None,None,None
Lehsun Methi Raita,Garlic,Fenugreek,None,None,None,Red Chilli,Garam Masala,Cumin,None,None,Curd
Oven Baked Zucchini Chips,Zucchini,Garlic,None,None,None,Black Pepper,Cayenne Peppers,None,None,Whole Wheat Bread,Cheese
Roasted Cauliflower Hummus,Cauliflower,Garlic,Lemon juice,None,None,Sesame seeds,Black Pepper,Cumin,None,None,None
Tandoori Garlic Roti,Cilantro(Coriander leaves),Garlic,None,None,Whole wheat flour(Atta),Nigella Seeds,None,None,None,None,Buttermilk
Dudhi Jowar Dhebra,Bottle Gourd,Green chilli,Ginger,None,Jowar Flour,Turmeric,Sesame seeds,None,None,None,Curd
Colcannon (Mashed potatoes with Cabbage),Potato,Cabbage,Onion,Garlic,None,Black Pepper,None,None,None,None,Milk
Potato Tacos,Potato,Cilantro(Coriander leaves),Garlic,None,Corn flour,Black Pepper,Cumin,None,None,None,Cheese
Roasted Garlic and Rosemary White Bean Dip,Garlic,White Beans,Lemon juice,None,None,Rosemary,Black Pepper,None,None,None,None
Pea Fritters,Peas,Spring Onion,None,None,White flour(Maida),Parsley,Black Pepper,None,None,None,Cheese
Lemon Quinoa,Lemon juice,Curry leaves,Ginger,None,Chana dal,Quinoa,Red Chilli,Mustard,Asafoetida,None,None
Braised Artichokes,Artichoke,Garlic,Lemon juice,None,Corn flour,Black Pepper,Red Chilli,None,None,None,None
Artichoke Salad,Artichoke,Olives,Tomato,Lemon juice,None,Garlic Cloves,Oregano,Onion,Black Pepper,None,None
Spinach and Artichoke Stuffed Potatoes,Potato,Spinach,Artichoke,Garlic,None,Black Pepper,None,None,None,None,Cheese
Brocccoli and Red Capsicum Dip,Broccoli,Capsicum,Celery,Garlic,None,Green Chilli,Onion,None,None,None,Cheese
Carrot Chips,Carrot,None,None,None,None,Cinnamon,Cumin,None,None,None,None
Curried Corn with Spinach ,Spinach,Sweet corn,Tomato,Onion,None,Ginger,Garlic Cloves,Garam Masala,Red Chilli,None,Cream
Sabudana Khichdi,Potato,Green chilli,None,None,Sabudana,Flax Seeds,Sesame seeds,Cumin,None,None,None
Curd Quinoa,Carrot,Cilantro(Coriander leaves),None,None,Urad dal,Quinoa,Asafoetida,Sesame seeds,Mustard,None,Curd
Moong and Mushroom Curry,Mushrooms,Tomato,Onion,Curry leaves,Moong dal,Ginger,Turmeric,Mustard,Red Chilli,None,None
Gujarati Kadhi,Curry leaves,Ginger,Green chilli,None,Gram flour(Besan),Red Chilli,Mustard,Fenugreek seeds,Asafoetida,None,Curd
Sri Lankan Beetroot Curry ,Beetroot,Curry leaves,Onion,Green chilli,None,Garlic Cloves,Turmeric,Coriander,Cumin,None,Milk
Beetroot Hummus,Beetroot,Garlic,Lemon juice,None,Chickpeas(Chhole),Sesame seeds,Parsley,Cumin,None,None,None
Garlic Roasted Turnips,Turnip,Garlic,Spring Onion,None,None,Onion,Black Pepper,Parsley,Dill,None,Butter
Radish Curry,Radish,Curry leaves,Onion,Cilantro(Coriander leaves),None,Green Chilli,Red Chilli,Mustard,Turmeric,None,None
Mashed Turnips,Turnip,Spring Onion,None,None,None,Nutmeg,Black Pepper,None,None,None,Cream
Carrot and Turnip Casserole,Carrot,Turnip,Lemon juice,None,None,Onion,Garlic Cloves,Basil,Black Pepper,None,Butter
Mushroom Matar,Mushrooms,Peas,Tomato,Garlic,None,Onion,Red Chilli,Turmeric,Garam Masala,None,Cream
"Zucchini, Bell Pepper and Moong Dal Salad",Zucchini,Capsicum,Tomato,Lemon juice,Moong dal,Black Pepper,None,None,None,None,None
"Nepali Potato, Tomato and Pea Curry",Potato,Tomato,Peas,Ginger,None,Onion,Green Chilli,Coriander,Turmeric,None,None
Eggplant and Red Pepper Tarine,Brinjal,Capsicum,Tomato,None,None,Garlic Cloves,Parsley,Black Pepper,None,None,Cheese
Dill and Celery Salad,Celery,Olives,Cilantro(Coriander leaves),Lemon juice,None,Dill,Parsley,Sunflower Seeds,None,None,None
Karela and Peas,Bitter Gourd,Peas,Potato,Tomato,None,Ginger,Garlic Cloves,Asafoetida,Garam Masala,None,None
Tindora ki Sabzi (Ivy Gourd),Ivy Gourd (Tendli),Tomato,Cilantro(Coriander leaves),Onion,None,Red Chilli,Turmeric,Garam Masala,Asafoetida,None,None
Andhra Ivy Gourd Pickle,Ivy Gourd (Tendli),Curry leaves,None,None,None,Asafoetida,Red Chilli,Fenugreek seeds,Turmeric,None,None
Kundru Chutney (Ivy Gourd Chutney),Ivy Gourd (Tendli),Cilantro(Coriander leaves),Curry leaves,Green chilli,Chana dal,Red Chilli,Mustard,Cumin,Asafoetida,None,None
Arbi Chips,Colocasia,Lemon juice,None,None,None,Black Pepper,Red Chilli,Cumin,None,None,None
Cucumber Cheddar Chips,Cucumber,Garlic,None,None,None,Onion,Black Pepper,None,None,None,Cheese
Vegan Fajitas,Mushrooms,Capsicum,Onion,Garlic,White flour(Maida),Red Chilli,Black Pepper,Paprika,Cumin,None,None
Soya Kheema Matar,Soyabean,Peas,Onion,Ginger,None,Red Chilli,Turmeric,Garam Masala,Fennel seeds,None,None
Dill Leaves Sabzi,Green chilli,Garlic,None,None,Moong dal,Dill,Cumin,Turmeric,Asafoetida,None,None
Yam Fry,Yam,Curry leaves,None,None,Urad dal,Turmeric,Red Chilli,Garam Masala,Mustard,None,None
Creamy Roasted Yam Soup,Yam,Garlic,Onion,None,None,Black Pepper,Cayenne Peppers,Cumin,None,None,Cream
Millet Yam Cakes,Yam,Garlic,None,None,Bajra(Millet Flour),Parsley,Rosemary,Black Pepper,None,None,Curd
Drumstick Soup,Drumsticks,Cilantro(Coriander leaves),Onion,Garlic,None,Black Pepper,Cumin,None,None,None,Ghee
Drumstick Curry,Drumsticks,Potato,Tomato,Onion,None,Garlic Cloves,Mustard,Cumin,Black Pepper,None,None
Olive Tapenade,Olives,Tomato,Garlic,Lemon juice,None,Oregano,Parsley,Black Pepper,None,None,None
Cluster Beans Curry,Cluster Beans(Gavar),Curry leaves,None,None,Toor dal,Mustard,Turmeric,Black Pepper,Red Chilli,None,Milk
Blended Chana and Cluster Beans Curry,Cluster Beans(Gavar),Curry leaves,Onion,Green chilli,Chana dal,Mustard,Cumin,None,None,None,None
Vegan Spring Onion Soup,Spring Onion,Potato,Lemon juice,None,None,Garlic Cloves,Black Pepper,None,None,White Bread,None
Mushroom and Spring Onion Dumplings,Mushrooms,Spring Onion,Ginger,None,White flour(Maida),Cumin,Red Chilli,Black Pepper,None,None,None
"Roasted Spring Onions with Dill, Butter and Lemon",Spring Onion,Lemon juice,None,None,None,Dill,Black Pepper,None,None,None,Butter
Spring Onion Pakoda,Spring Onion,Green chilli,Ginger,None,Gram flour(Besan),Red Chilli,Turmeric,Garam Masala,None,None,None
Okroshka (Russian Summer Soup),Potato,Cucumber,Mint,Radish,None,Dill,Mustard,Black Pepper,Flax Seeds,None,Buttermilk
Vada Pav,Potato,Garlic,Ginger,Curry leaves,Gram flour(Besan),Asafoetida,Mustard,Green Chilli,Turmeric,Bun,None
